City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,saldanha,-33.0117,17.9442,50.05,89,10,5.28,ZA,2023-07-17
79,georgetown,5.4112,100.3354,82.33,100,40,3.44,MY,2023-07-17
80,bandar lampung,-5.4254,105.258,71.92,95,12,1.59,ID,2023-07-17
81,lysekil,58.2743,11.4358,60.12,82,63,28.41,SE,2023-07-17
82,talnakh,69.4865,88.3972,48.97,96,100,11.1,RU,2023-07-17
83,fort bragg,35.139,-79.006,88.83,60,0,5.01,US,2023-07-17
84,utrik,11.2278,169.8474,82.89,78,14,14.76,MH,2023-07-17
85,aasiaat,68.7098,-52.8699,37.27,95,100,6.46,GL,2023-07-17
86,queenstown,-31.8976,26.8753,50.86,40,4,6.64,ZA,2023-07-17
87,terme,41.2092,36.9739,62.53,77,0,4.65,TR,2023-07-17
88,selfoss,63.9331,-20.9971,53.04,69,80,8.25,IS,2023-07-17
89,lompoc,34.6391,-120.4579,77.58,71,75,5.99,US,2023-07-17
90,qarazhal,48.0078,70.7903,77.9,30,59,11.5,KZ,2023-07-17
91,dordrecht,51.81,4.6736,63.99,80,41,3.0,NL,2023-07-17
92,kingston,17.997,-76.7936,86.95,79,75,20.71,JM,2023-07-17
93,mossel bay,-34.1831,22.146,57.04,89,7,1.34,ZA,2023-07-17
94,cabo san lucas,22.8909,-109.9124,97.61,46,0,13.8,MX,2023-07-17
95,surgut,61.25,73.4167,55.58,76,0,4.47,RU,2023-07-17
96,dudinka,69.4058,86.1778,56.8,96,99,13.09,RU,2023-07-17
97,olinda,-8.0089,-34.8553,78.53,83,75,11.5,BR,2023-07-17
98,bethel,41.3712,-73.414,85.05,74,54,1.01,US,2023-07-17
99,pathein,16.7833,94.7333,79.27,86,100,10.42,MM,2023-07-17
100,boca do acre,-8.7522,-67.3978,81.84,62,86,0.83,BR,2023-07-17
101,booue,-0.0921,11.9385,74.5,93,95,3.83,GA,2023-07-17
102,mao,39.8885,4.2658,79.36,100,75,4.61,ES,2023-07-17
103,tournus,46.5676,4.9057,67.28,80,0,4.07,FR,2023-07-17
104,almansa,38.8692,-1.0971,75.94,66,0,3.13,ES,2023-07-17
105,tadine,-21.55,167.8833,71.91,65,48,18.92,NC,2023-07-17
106,ebon,4.582,168.6964,82.74,78,68,8.46,MH,2023-07-17
107,sal rei,16.1833,-22.9167,76.59,75,90,15.21,CV,2023-07-17
108,slave lake,55.2834,-114.769,66.18,72,75,2.3,CA,2023-07-17
109,kingman,35.1894,-114.053,109.18,12,0,18.41,US,2023-07-17
110,kodiak,57.79,-152.4072,54.91,94,100,8.05,US,2023-07-17
111,terrace,54.5163,-128.6035,71.51,56,75,19.57,CA,2023-07-17
112,merizo village,13.2658,144.6691,85.98,85,90,13.42,GU,2023-07-17
113,westport,41.1415,-73.3579,86.45,75,0,9.22,US,2023-07-17
114,rio preto da eva,-2.6994,-59.6997,82.06,59,87,0.69,BR,2023-07-17
115,north platte,41.1239,-100.7654,80.49,61,0,12.66,US,2023-07-17
116,hithadhoo,-0.6,73.0833,82.0,71,37,3.18,MV,2023-07-17
117,nantucket,41.2835,-70.0995,82.45,94,75,12.71,US,2023-07-17
118,laojunmiao,39.8333,97.7333,73.0,24,0,4.5,CN,2023-07-17
119,nar'yan-mar,67.6713,53.087,61.21,71,80,10.0,RU,2023-07-17
120,san luis de la loma,17.2706,-100.8939,83.46,74,100,4.76,MX,2023-07-17
121,dunedin,-45.8742,170.5036,53.38,69,88,5.35,NZ,2023-07-17
122,joshimath,30.5667,79.5667,72.57,94,100,0.94,IN,2023-07-17
123,college,64.8569,-147.8028,76.08,45,75,8.05,US,2023-07-17
124,nova sintra,14.8667,-24.7167,71.85,77,45,17.6,CV,2023-07-17
125,las veredas,23.1388,-109.7075,96.96,55,0,14.97,MX,2023-07-17
126,medicine hat,50.0501,-110.6683,86.85,30,75,21.85,CA,2023-07-17
127,sibolga,1.7427,98.7792,75.29,89,96,3.2,ID,2023-07-17
128,pisco,-13.7,-76.2167,69.85,68,20,16.11,PE,2023-07-17
129,lihue,21.9789,-159.3672,85.59,69,40,16.11,US,2023-07-17
130,manokwari,-0.8667,134.0833,80.17,76,91,0.4,ID,2023-07-17
131,charters towers,-20.1,146.2667,63.63,75,100,11.97,AU,2023-07-17
132,serdar,38.9764,56.2757,78.44,49,92,5.44,TM,2023-07-17
133,ibia,-19.4783,-46.5389,76.46,47,55,1.9,BR,2023-07-17
134,gidam,18.9833,81.4,73.13,98,100,6.06,IN,2023-07-17
135,ponta delgada,37.7333,-25.6667,66.92,77,40,5.75,PT,2023-07-17
136,walvis bay,-22.9575,14.5053,74.35,23,0,17.27,,2023-07-17
137,wingham,43.8879,-81.3114,74.39,64,17,5.21,CA,2023-07-17
138,raja,8.4596,25.678,70.66,89,68,3.42,SS,2023-07-17
139,bilibino,68.0546,166.4372,70.92,63,12,7.56,RU,2023-07-17
140,dauphin,51.1494,-100.0502,73.54,53,75,8.05,CA,2023-07-17
141,kuta,-8.7233,115.1723,75.15,83,40,4.61,ID,2023-07-17
142,fisterra,42.9049,-9.2629,65.25,89,31,18.84,ES,2023-07-17
143,hasaki,35.7333,140.8333,81.0,77,48,3.11,JP,2023-07-17
144,bhawana,31.5692,72.649,92.57,52,11,6.11,PK,2023-07-17
145,ilulissat,69.2167,-51.1,42.82,93,75,2.3,GL,2023-07-17
146,weno,7.4515,151.8468,80.55,94,100,0.0,FM,2023-07-17
147,anadyr,64.75,177.4833,73.9,53,0,4.47,RU,2023-07-17
148,kaindy,42.8247,73.6759,77.34,31,0,6.73,KG,2023-07-17
149,petropavlovsk-kamchatsky,53.0452,158.6483,66.79,73,20,4.47,RU,2023-07-17
150,yeppoon,-23.1333,150.7333,65.98,73,100,14.41,AU,2023-07-17
151,iskateley,67.6803,53.1512,60.76,72,77,10.0,RU,2023-07-17
152,punta arenas,-53.15,-70.9167,37.51,81,75,12.66,CL,2023-07-17
153,crane,31.3974,-102.3501,101.43,12,0,17.67,US,2023-07-17
154,mathba,22.2855,89.9629,80.74,90,100,6.2,BD,2023-07-17
155,mabaruma,8.2,-59.7833,76.82,88,53,3.98,GY,2023-07-17
156,san patricio,28.017,-97.5169,96.89,44,1,15.48,US,2023-07-17
157,tshabong,-26.05,22.45,55.96,31,0,7.38,BW,2023-07-17
158,hamilton,39.1834,-84.5333,84.22,69,40,12.66,US,2023-07-17
159,svendborg,55.0598,10.6068,61.86,83,19,17.65,DK,2023-07-17
160,gurupi,-11.7292,-49.0686,81.03,30,8,6.26,BR,2023-07-17
161,camocim,-2.9022,-40.8411,79.54,74,6,16.53,BR,2023-07-17
162,kiiminki,65.1314,25.7974,59.77,68,70,7.52,FI,2023-07-17
163,sabang,5.8933,95.3214,83.95,76,80,22.84,ID,2023-07-17
164,cockburn town,21.4612,-71.1419,83.34,83,95,20.98,TC,2023-07-17
165,colonia,50.9333,6.95,59.92,80,0,2.3,DE,2023-07-17
166,jalai nur,49.45,117.7,70.18,57,86,8.1,CN,2023-07-17
167,caetite,-14.0694,-42.475,67.6,54,21,4.16,BR,2023-07-17
168,antigonish,45.6169,-61.9986,79.83,85,93,7.0,CA,2023-07-17
169,srisailain,16.0833,78.8667,74.25,86,100,15.46,IN,2023-07-17
170,amursk,50.2261,136.8994,69.64,76,6,3.4,RU,2023-07-17
171,barisal,22.7019,90.3711,80.02,91,99,8.59,BD,2023-07-17
172,ujae,8.9322,165.7642,83.25,77,40,11.23,MH,2023-07-17
173,tonj,7.2737,28.6822,71.98,86,69,3.85,SS,2023-07-17
174,aweil,8.7682,27.4002,75.7,72,64,2.75,SS,2023-07-17
175,pahrump,36.2083,-115.9839,111.25,15,82,5.99,US,2023-07-17
176,hovd,48.0056,91.6419,64.11,48,0,1.21,MN,2023-07-17
177,santa elena de uairen,4.6167,-61.1333,68.97,83,56,2.93,VE,2023-07-17
178,tura,25.5198,90.2201,74.46,97,98,3.29,IN,2023-07-17
179,minna,9.6139,6.5569,78.51,83,40,9.22,NG,2023-07-17
180,san antonio de pale,-1.4014,5.6325,73.74,82,83,9.46,GQ,2023-07-17
181,qaqortoq,60.7167,-46.0333,48.45,90,81,1.57,GL,2023-07-17
182,magadan,59.5667,150.8,60.22,82,47,4.74,RU,2023-07-17
183,portland,45.5234,-122.6762,80.01,52,75,9.22,US,2023-07-17
184,new norfolk,-42.7826,147.0587,52.92,59,86,9.42,AU,2023-07-17
185,zhezqazghan,47.7833,67.7667,70.38,37,0,11.18,KZ,2023-07-17
186,karatsu,33.4425,129.9697,84.09,84,100,2.17,JP,2023-07-17
187,katsuura,35.1333,140.3,82.29,71,4,2.98,JP,2023-07-17
188,chaplynka,46.3651,33.5403,70.57,62,31,8.48,UA,2023-07-17
189,sault ste. marie,46.5168,-84.3333,62.89,74,40,11.5,CA,2023-07-17
190,banda aceh,5.5577,95.3222,79.88,83,96,14.16,ID,2023-07-17
191,vorgashor,67.5833,63.95,49.82,94,74,4.83,RU,2023-07-17
192,novodvinsk,64.4165,40.8122,62.83,69,99,4.85,RU,2023-07-17
193,vilyuchinsk,52.9306,158.4028,68.27,86,91,5.01,RU,2023-07-17
194,velikiy ustyug,60.7644,46.3106,60.44,77,74,3.33,RU,2023-07-17
195,gizo,-8.103,156.8419,81.82,78,80,4.38,SB,2023-07-17
196,tezu,27.9167,96.1667,75.6,75,99,2.73,IN,2023-07-17
197,rosarito,32.3333,-117.0333,88.63,67,65,8.52,MX,2023-07-17
198,vila velha,-20.3297,-40.2925,75.15,87,0,6.91,BR,2023-07-17
199,faya-largeau,17.9257,19.1043,94.8,13,5,3.58,TD,2023-07-17
200,churapcha,62.0025,132.4325,64.35,51,36,15.17,RU,2023-07-17
201,sinabang,2.4803,96.3801,79.39,83,98,6.51,ID,2023-07-17
202,ta`u,-14.2336,-169.5144,80.13,78,28,10.71,AS,2023-07-17
203,nouadhibou,20.931,-17.0347,73.38,68,4,18.41,MR,2023-07-17
204,najran,17.4924,44.1277,84.85,29,90,7.09,SA,2023-07-17
205,arraial do cabo,-22.9661,-42.0278,69.76,88,75,8.05,BR,2023-07-17
206,madagali,10.8902,13.6312,82.65,49,41,3.06,NG,2023-07-17
207,chapaev,50.2,51.1667,61.9,87,56,7.76,KZ,2023-07-17
208,geraldton,-28.7667,114.6,45.01,81,2,12.66,AU,2023-07-17
209,fale old settlement,-9.3852,-171.2468,83.57,76,68,12.97,TK,2023-07-17
210,khorixas,-20.3667,14.9667,61.23,22,0,9.53,,2023-07-17
211,uturoa,-16.7333,-151.4333,78.04,75,22,11.07,PF,2023-07-17
212,princeville,45.7668,-61.2985,79.75,87,100,10.36,CA,2023-07-17
213,marsa alam,25.0757,34.8918,92.25,33,0,4.0,EG,2023-07-17
214,afaahiti,-17.75,-149.2833,82.27,72,7,4.92,PF,2023-07-17
215,puerto ayora,-0.7393,-90.3518,85.96,91,85,8.01,EC,2023-07-17
216,alice springs,-23.7,133.8833,49.55,81,100,0.0,AU,2023-07-17
217,kyaukse,21.6,96.1333,77.0,88,75,2.3,MM,2023-07-17
218,leua,48.2156,18.6071,68.9,81,0,4.47,SK,2023-07-17
219,alibag,18.6411,72.8792,77.07,88,100,14.12,IN,2023-07-17
220,tanout,14.9709,8.8879,92.73,29,9,9.15,NE,2023-07-17
221,inhambane,-23.865,35.3833,64.38,70,0,4.14,MZ,2023-07-17
222,taltal,-25.4,-70.4833,62.06,76,16,5.68,CL,2023-07-17
223,waddan,29.1614,16.139,81.09,46,2,7.05,LY,2023-07-17
224,amos,48.5669,-78.1162,67.12,63,53,9.86,CA,2023-07-17
225,tyup,42.7276,78.3648,59.32,68,0,2.35,KG,2023-07-17
226,yatou,37.15,122.3833,75.79,74,2,7.05,CN,2023-07-17
227,trinity beach,-16.7888,145.6968,75.02,83,75,11.5,AU,2023-07-17
228,tazovsky,67.4667,78.7,50.25,96,84,12.3,RU,2023-07-17
229,harpswell center,43.8018,-69.9842,84.29,88,68,4.0,US,2023-07-17
230,port alfred,-33.5906,26.891,59.67,79,16,4.23,ZA,2023-07-17
231,manadhoo,5.7667,73.3833,82.47,78,77,13.82,MV,2023-07-17
232,praia da vitoria,38.7333,-27.0667,70.05,78,75,3.83,PT,2023-07-17
233,ugento,39.9263,18.1574,74.7,59,0,7.78,IT,2023-07-17
234,pangoa,-12.1167,-73.0,70.77,86,20,2.46,PE,2023-07-17
235,yalutorovsk,56.6536,66.3006,62.83,95,100,3.24,RU,2023-07-17
236,san julian,21.0167,-102.1667,81.72,26,48,6.46,MX,2023-07-17
237,iquique,-20.2208,-70.1431,64.44,82,90,7.99,CL,2023-07-17
238,chernyshevskiy,63.0128,112.4714,49.28,79,100,11.72,RU,2023-07-17
